Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,Start_Time,End_Time,Duration_Min,Distance_KM,Avg_Speed_kmph,Max_Speed_kmph,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,speed_mean,speed_median,speed_std,speed_max,speed_p90,speed_p95,speed_p99,speed_range,speed_delta_std,speed_delta_max,speed_delta_min,high_accel_delta_count,high_brake_delta_count,accel_raw_mag_mean,accel_raw_mag_median,accel_raw_mag_std,accel_raw_mag_max,accel_raw_mag_p95,accel_raw_mag_p99,accel_grav_dev_mean,accel_grav_dev_median,accel_grav_dev_std,accel_grav_dev_max,accel_grav_dev_p95,accel_grav_dev_p99,accel_extreme_count,gyro_mag_mean,gyro_mag_median,gyro_mag_std,gyro_mag_max,gyro_mag_p95,gyro_mag_p99,gyro_extreme_count,accel_extremes_per_hour,gyro_extremes_per_hour,high_accel_deltas_per_hour,high_brake_deltas_per_hour,accel_extremes_per_100km,gyro_extremes_per_100km,high_accel_deltas_per_100km,high_brake_deltas_per_100km,is_high_accel_anomaly,is_high_gyro_anomaly,is_candidate_anomaly
T00001,D01,V01,2026-08-04,2026-08-04 11:08:00,2026-08-04 11:24:00,16,9.34,28.7,39.4,12.991693,77.559009,13.011179,77.6074,28.71875,27.75,5.987232944635888,39.4,37.25,38.275,39.175,19.4,9.152404055765892,15.799999999999997,-17.9,0,0,1.015942849371013,1.0008758487564444,0.07193238908424672,1.186010539582174,1.1549673254914934,1.1798018967640378,0.05309584163667682,0.04049892157935647,0.04716210519930555,0.1773847417760701,0.14634152768538933,0.17117609895793393,1,2.626879318044309,2.5094446744993375,1.0672700618836541,5.05419627636284,4.595322245644,4.962421470219072,0,3.75,0.0,0.0,0.0,10.706638115631693,0.0,0.0,0.0,False,False,False
T00002,D01,V01,2026-08-02,2026-08-02 20:38:00,2026-08-02 21:00:00,22,5.0,28.5,54.4,13.00079,77.560607,13.038001,77.563879,28.545454545454547,30.4,13.550355021626599,54.4,44.05000000000001,46.495,52.76199999999999,51.9,17.133024236267204,36.1,-30.0,2,2,0.9981214659653616,1.0053799856948513,0.04317178418357944,1.07032004559384,1.0586773337199815,1.068095078526034,0.032307804308987505,0.02272950159589432,0.02976406497521244,0.11316893117321025,0.09518291936631189,0.10976200664278796,0,4.626561836212162,3.1753319033715877,7.208373975108703,36.400853011983116,5.693371617297997,29.952385554578992,1,0.0,2.7272727272727275,5.454545454545455,5.454545454545455,0.0,20.0,40.0,40.0,False,False,False
T00003,D01,V01,2026-07-31,2026-07-31 21:11:00,2026-07-31 21:38:00,27,7.25,16.9,32.7,12.983049,77.554049,12.949627,77.52124,16.900000000000002,19.6,8.779127344051737,32.7,28.5,29.43,31.919999999999998,32.7,12.597079433599292,24.400000000000002,-18.000000000000004,0,0,1.0168001188706366,0.9922731478781435,0.08421880685859248,1.1912199628951825,1.1764291246830443,1.1879692183403396,0.06212424951321786,0.032835195222439495,0.05616346886973227,0.18259416508907855,0.16780332687694036,0.1793434205342357,4,4.699843083707394,3.442165016381405,6.789118059552954,38.31371294980428,5.73184134425207,29.851376211183695,1,8.88888888888889,2.2222222222222223,0.0,0.0,55.17241379310345,13.793103448275863,0.0,0.0,True,False,True
T00004,D01,V01,2026-07-31,2026-07-31 17:36:00,2026-07-31 18:18:00,42,9.27,23.9,40.4,12.974957,77.549494,12.987157,77.479689,23.90714285714286,24.200000000000003,6.219379345441851,40.4,32.3,32.595,37.242999999999974,32.8,8.307088055560378,21.2,-24.799999999999997,0,0,1.004190567676735,1.009523900635919,0.05943017200806016,1.223474151749844,1.0554278770163164,1.17250876153594,0.04343786951986168,0.03257730401299602,0.04023962219553087,0.21484835394374002,0.121127245177023,0.18306662108593935,2,7.708967822806433,3.3892643187100653,12.728350758695036,54.095155975373615,35.678206153992576,53.57938663887033,5,2.857142857142857,7.142857142857143,0.0,0.0,21.57497303128371,53.93743257820928,0.0,0.0,False,True,True
T00005,D01,V01,2026-08-01,2026-08-01 17:06:00,2026-08-01 17:19:00,13,7.74,28.7,42.5,12.997466,77.547647,12.997395,77.504517,28.707692307692305,33.2,10.79007735054616,42.5,41.24,42.32,42.464,37.3,15.658572650018181,18.1,-37.0,0,1,1.0404150700687913,1.0218121158021176,0.0914955671325,1.2658645267168205,1.1671520455241422,1.2461220304782847,0.0672903941514904,0.0594508929545271,0.06753428424131583,0.25723872891071653,0.1655034076347752,0.23889166465552816,1,6.098401847544783,2.5011597310047993,12.215527119804703,46.65755351494546,21.197558050021765,41.56555442196069,1,4.615384615384615,4.615384615384615,0.0,4.615384615384615,12.919896640826874,12.919896640826874,0.0,12.919896640826874,False,False,False
T00006,D01,V01,2026-08-05,2026-08-05 10:35:00,2026-08-05 10:54:00,19,11.26,21.7,33.4,12.997977,77.551773,13.068164,77.57159,21.726315789473684,23.3,7.635723214329337,33.4,29.16,31.599999999999994,33.04,28.7,13.67843310338369,26.7,-20.8,1,0,1.0376359515598574,1.0285898113436667,0.07437592523380064,1.1910377827760124,1.1769384487247367,1.1882179159657573,0.05576819654888883,0.03434144506302517,0.056011138175281104,0.1824119849699084,0.16831265091863268,0.17959211815965326,3,5.227250844770779,3.3538187190127022,8.662947033554333,40.71288002585914,8.537628115026896,34.27782964369272,1,9.473684210526317,3.1578947368421053,3.1578947368421053,0.0,26.642984014209592,8.880994671403197,8.880994671403197,0.0,True,False,True
T00007,D01,V01,2026-08-03,2026-08-03 11:32:00,2026-08-03 11:47:00,15,6.2,20.0,38.2,12.992633,77.564429,13.022862,77.538041,20.033333333333335,20.4,7.940822795319555,38.2,27.08,31.059999999999988,36.772,35.800000000000004,6.5441213168403145,13.0,-5.899999999999999,0,0,1.0517059681150167,1.0493340745444226,0.05367784157680774,1.1989353610599698,1.1454554742942449,1.1882393837068248,0.04758458854113786,0.04070827673831867,0.049434277853863264,0.19030956325386583,0.13682967648814098,0.17961358590072082,1,3.610976096774266,3.247614509143596,1.572885756179052,6.751570187741515,5.842865717606507,6.569829293714513,0,4.0,0.0,0.0,0.0,16.129032258064516,0.0,0.0,0.0,False,False,False
T00008,D01,V01,2026-08-04,2026-08-04 15:03:00,2026-08-04 15:44:00,41,14.97,25.3,41.7,12.980346,77.556282,12.921142,77.64436,25.329268292682926,26.3,9.302909327259915,41.7,35.8,38.1,41.38,39.7,13.604264933844973,27.8,-36.3,1,1,1.0323590206089621,1.0153669287503901,0.09338428069802206,1.405850632179678,1.1053375050182637,1.378297963307286,0.056888009046601906,0.03537660052927094,0.07733575938784025,0.39722483437357403,0.14254901137201414,0.36967216550118215,3,6.52930803927015,3.0606698613212107,10.93985591502604,50.628053488160106,33.96503643454545,44.07588665881413,5,4.390243902439025,7.317073170731708,1.4634146341463414,1.4634146341463414,20.04008016032064,33.4001336005344,6.680026720106881,6.680026720106881,False,True,True
T00009,D01,V01,2026-08-06,2026-08-06 12:00:00,2026-08-06 12:31:00,31,17.09,23.8,42.3,12.999075,77.541607,13.028601,77.450753,23.838709677419356,22.8,10.296817547810742,42.3,36.2,41.75,42.18,39.199999999999996,12.453569683005043,24.799999999999997,-25.199999999999996,0,0,1.086552703846149,1.0105236266411586,0.18094869205599987,1.6397326001516224,1.4690811011771054,1.6298459828657117,0.10980236936677563,0.0329816138418737,0.16296934149937656,0.6311068023455184,0.4604553033710015,0.6212201850596079,7,5.110172455488585,2.786054557972618,8.559156620699921,48.700853175278155,13.258161814729506,38.71898668340345,3,13.548387096774192,5.806451612903225,0.0,0.0,40.95962551199532,17.554125219426567,0.0,0.0,True,False,True
T00010,D01,V01,2026-08-05,2026-08-05 10:32:00,2026-08-05 11:05:00,33,16.27,30.6,47.5,12.996834,77.568587,13.017821,77.682427,30.63939393939394,31.1,10.016484519092122,47.5,41.08,46.32,47.275999999999996,47.5,15.074026301535831,36.6,-31.7,2,3,1.0130179965443091,1.015349201014114,0.0868266549569978,1.4205565810625074,1.0759603700933205,1.311590474914179,0.04969175788194534,0.030707600818237313,0.07079778784249366,0.4119307832564034,0.09840030814529328,0.31183551887271393,1,4.52194448494512,3.079448002483562,7.329995516023218,44.39888061652005,7.381284689303389,33.118014519556425,2,1.8181818181818181,3.6363636363636362,3.6363636363636362,5.454545454545454,6.1462814996926864,12.292562999385373,12.292562999385373,18.43884449907806,False,False,False
