Entity_ID,interpretable_driver_score,isolation_score,hybrid_signal,percentile_rank,interpretable_vehicle_score
D01,62.58620689655172,37.93103448275862,55.189655172413794,68.96551724137932,
D02,75.51724137931035,100.0,82.86206896551724,82.75862068965517,
D03,77.75862068965517,79.3103448275862,78.22413793103448,79.3103448275862,
D04,46.03448275862069,55.172413793103445,48.775862068965516,58.620689655172406,
D05,8.96551724137931,58.620689655172406,23.86206896551724,3.4482758620689653,
D06,79.82758620689656,93.10344827586206,83.8103448275862,89.65517241379311,
D07,33.10344827586207,20.689655172413794,29.379310344827587,17.24137931034483,
D08,45.689655172413794,24.137931034482758,39.224137931034484,48.275862068965516,
D09,11.206896551724139,82.75862068965517,32.672413793103445,27.586206896551722,
D10,44.31034482758621,31.03448275862069,40.327586206896555,51.724137931034484,
D11,6.8965517241379315,75.86206896551724,27.586206896551722,13.793103448275861,
D12,79.48275862068967,68.96551724137932,76.32758620689656,75.86206896551724,
D13,68.62068965517241,10.344827586206897,51.137931034482754,62.06896551724138,
D14,90.17241379310344,72.41379310344827,84.84482758620689,93.10344827586206,
D15,58.79310344827587,44.827586206896555,54.60344827586208,65.51724137931035,
D16,28.620689655172413,34.48275862068966,30.379310344827584,24.137931034482758,
D17,52.93103448275862,13.793103448275861,41.189655172413794,55.172413793103445,
D18,11.03448275862069,62.06896551724138,26.344827586206897,10.344827586206897,
D19,91.55172413793103,96.55172413793103,93.05172413793102,96.55172413793103,
D20,54.48275862068965,3.4482758620689653,39.172413793103445,44.827586206896555,
D21,50.51724137931035,6.896551724137931,37.43103448275862,37.93103448275862,
D22,11.03448275862069,51.724137931034484,23.24137931034483,0.0,
D23,94.6551724137931,89.65517241379311,93.1551724137931,100.0,
D24,82.75862068965516,86.20689655172413,83.79310344827584,86.20689655172413,
D25,66.20689655172413,41.37931034482759,58.75862068965517,72.41379310344827,
D26,29.482758620689655,17.24137931034483,25.810344827586206,6.896551724137931,
D27,47.58620689655172,0.0,33.310344827586206,31.03448275862069,
D28,24.82758620689655,65.51724137931035,37.03448275862068,34.48275862068966,
D29,22.24137931034483,48.275862068965516,30.051724137931032,20.689655172413794,
D30,43.10344827586207,27.586206896551722,38.44827586206897,41.37931034482759,
V01,,75.86206896551724,71.99999999999999,82.75862068965517,70.34482758620689
V02,,100.0,94.56896551724138,100.0,92.24137931034483
V03,,34.48275862068966,59.35689655172414,65.51724137931035,70.01724137931035
V04,,65.51724137931035,47.341379310344834,55.172413793103445,39.55172413793104
V05,,68.96551724137932,34.231034482758616,31.03448275862069,19.344827586206897
V06,,89.65517241379311,67.99137931034483,72.41379310344827,58.70689655172414
V07,,6.896551724137931,18.917241379310347,0.0,24.06896551724138
V08,,10.344827586206897,30.306896551724137,17.24137931034483,38.862068965517246
V09,,72.41379310344827,40.62413793103448,44.827586206896555,27.0
V10,,82.75862068965517,69.80862068965517,75.86206896551724,64.25862068965517
V11,,62.06896551724138,30.737931034482756,20.689655172413794,17.310344827586206
V12,,79.3103448275862,76.14827586206897,86.20689655172413,74.79310344827587
V13,,41.37931034482759,54.75172413793103,58.620689655172406,60.48275862068965
V14,,96.55172413793103,79.93275862068965,93.10344827586206,72.8103448275862
V15,,51.724137931034484,58.12068965517241,62.06896551724138,60.86206896551724
V16,,13.793103448275861,33.07931034482758,27.586206896551722,41.3448275862069
V17,,17.24137931034483,31.50689655172414,24.137931034482758,37.62068965517242
V18,,27.586206896551722,24.086206896551722,3.4482758620689653,22.586206896551726
V19,,93.10344827586206,88.72241379310344,96.55172413793103,86.84482758620689
V20,,31.03448275862069,41.84827586206897,48.275862068965516,46.48275862068966
V21,,37.93103448275862,36.25344827586207,34.48275862068966,35.53448275862069
V22,,55.172413793103445,27.75172413793103,10.344827586206897,16.0
V23,,58.620689655172406,79.74137931034483,89.65517241379311,88.79310344827586
V24,,86.20689655172413,71.24137931034483,79.3103448275862,64.82758620689656
V25,,44.827586206896555,60.39655172413793,68.96551724137932,67.06896551724138
V26,,20.689655172413794,37.36896551724137,37.93103448275862,44.51724137931034
V27,,0.0,27.903448275862065,13.793103448275861,39.86206896551724
V28,,24.137931034482758,42.61551724137931,51.724137931034484,50.53448275862069
V29,,3.4482758620689653,25.08793103448276,6.896551724137931,34.362068965517246
V30,,48.275862068965516,37.55862068965517,41.37931034482759,32.96551724137931
